Country,Country Code,Human Development Index (HDI) 
Afghanistan,AFG,0.488
Albania,ALB,0.810
Algeria,DZA,0.748
Andorra,AND,0.873
Angola,AGO,0.595
Antigua and Barbuda,ATG,0.800
Argentina,ARG,0.852
Armenia,ARM,0.778
Australia,AUS,0.941
Austria,AUT,0.919
Azerbaijan,AZE,0.761
Bahamas,BHS,0.816
Bahrain,BHR,0.882
Bangladesh,BGD,0.644
Barbados,BRB,0.799
Belarus,BLR,0.817
Belgium,BEL,0.936
Belize,BLZ,0.705
Benin,BEN,0.530
Bhutan,BTN,0.671
Bolivia (Plurinational State of),BOL,0.717
Bosnia and Herzegovina,BIH,0.783
Botswana,BWA,0.717
Brazil,BRA,0.766
Brunei Darussalam,BRN,0.830
Bulgaria,BGR,0.810
Burkina Faso,BFA,0.452
Burundi,BDI,0.431
Cabo Verde,CPV,0.676
Cambodia,KHM,0.598
Cameroon,CMR,0.583
Canada,CAN,0.937
Central African Republic,CAF,0.411
Chad,TCD,0.403
Chile,CHL,0.861
China,CHN,0.762
Colombia,COL,0.768
Comoros,COM,0.560
Congo,COG,0.570
Congo (Democratic Republic of the),COD,0.482
Costa Rica,CRI,0.819
Côte d'Ivoire,CIV,0.550
Croatia,HRV,0.861
Cuba,CUB,0.788
Cyprus,CYP,0.897
Czechia,CZE,0.897
Denmark,DNK,0.946
Djibouti,DJI,0.512
Dominica,DMA,0.729
Dominican Republic,DOM,0.771
Ecuador,ECU,0.760
Egypt,EGY,0.735
El Salvador,SLV,0.683
Equatorial Guinea,GNQ,0.605
Eritrea,ERI,0.495
Estonia,EST,0.896
Eswatini (Kingdom of),SWZ,0.615
Ethiopia,ETH,0.498
Fiji,FJI,0.746
Finland,FIN,0.939
France,FRA,0.905
Gabon,GAB,0.709
Gambia,GMB,0.503
Georgia,GEO,0.810
Germany,DEU,0.948
Ghana,GHA,0.631
Greece,GRC,0.889
Grenada,GRD,0.800
Guatemala,GTM,0.642
Guinea,GIN,0.467
Guinea-Bissau,GNB,0.490
Guyana,GUY,0.708
Haiti,HTI,0.543
Honduras,HND,0.632
"Hong Kong, China (SAR)",HKG,0.952
Hungary,HUN,0.853
Iceland,ISL,0.960
India,IND,0.645
Indonesia,IDN,0.716
Iran (Islamic Republic of),IRN,0.783
Iraq,IRQ,0.696
Ireland,IRL,0.942
Israel,ISR,0.921
Italy,ITA,0.897
Jamaica,JAM,0.719
Japan,JPN,0.924
Jordan,JOR,0.727
Kazakhstan,KAZ,0.819
Kenya,KEN,0.581
Kiribati,KIR,0.630
Korea (Democratic People's Rep. of),PRK,0.923
Korea (Republic of),KOR,0.923
Kuwait,KWT,0.839
Kyrgyzstan,KGZ,0.698
Lao People's Democratic Republic,LAO,0.610
Latvia,LVA,0.871
Lebanon,LBN,0.745
Lesotho,LSO,0.524
Liberia,LBR,0.484
Libya,LBY,0.722
Liechtenstein,LIE,0.940
Lithuania,LTU,0.884
Luxembourg,LUX,0.927
Madagascar,MDG,0.510
Malawi,MWI,0.519
Malaysia,MYS,0.810
Maldives,MDV,0.755
Mali,MLI,0.433
Malta,MLT,0.915
Marshall Islands,MHL,0.640
Mauritania,MRT,0.563
Mauritius,MUS,0.817
Mexico,MEX,0.779
Micronesia (Federated States of),FSM,0.633
Moldova (Republic of),MDA,0.774
Monaco,MCO,0.956
Mongolia,MNG,0.746
Montenegro,MNE,0.837
Morocco,MAR,0.682
Mozambique,MOZ,0.456
Myanmar,MMR,0.598
Namibia,NAM,0.639
Nauru,NRU,0.721
Nepal,NPL,0.611
Netherlands,NLD,0.943
New Zealand,NZL,0.937
Nicaragua,NIC,0.664
Niger,NER,0.406
Nigeria,NGA,0.538
North Macedonia,MKD,0.784
Norway,NOR,0.961
Oman,OMN,0.839
Pakistan,PAK,0.546
Palau,PLW,0.776
"Palestine, State of",PSE,0.727
Panama,PAN,0.817
Papua New Guinea,PNG,0.560
Paraguay,PRY,0.732
Peru,PER,0.780
Philippines,PHL,0.718
Poland,POL,0.881
Portugal,PRT,0.867
Qatar,QAT,0.859
Romania,ROU,0.832
Russian Federation,RUS,0.845
Rwanda,RWA,0.534
Saint Kitts and Nevis,KNA,0.783
Saint Lucia,LCA,0.735
Saint Vincent and the Grenadines,VCT,0.769
Samoa,WSM,0.715
San Marino,SMR,0.862
Sao Tome and Principe,STP,0.622
Saudi Arabia,SAU,0.873
Senegal,SEN,0.513
Serbia,SRB,0.811
Seychelles,SYC,0.802
Sierra Leone,SLE,0.480
Singapore,SGP,0.943
Slovakia,SVK,0.862
Slovenia,SVN,0.921
Solomon Islands,SLB,0.567
Somalia,SOM,0.361
South Africa,ZAF,0.736
South Sudan,SSD,0.393
Spain,ESP,0.908
Sri Lanka,LKA,0.778
Sudan,SDN,0.514
Suriname,SUR,0.755
Sweden,SWE,0.947
Switzerland,CHE,0.962
Syrian Arab Republic,SYR,0.584
Tajikistan,TJK,0.676
Tanzania (United Republic of),TZA,0.548
Thailand,THA,0.804
Timor-Leste,TLS,0.614
Togo,TGO,0.535
Tonga,TON,0.744
Trinidad and Tobago,TTO,0.821
Tunisia,TUN,0.745
Türkiye,TUR,0.842
Turkmenistan,TKM,0.742
Tuvalu,TUV,0.635
Uganda,UGA,0.525
Ukraine,UKR,0.786
United Arab Emirates,ARE,0.920
United Kingdom,GBR,0.935
United States,USA,0.930
Uruguay,URY,0.821
Uzbekistan,UZB,0.726
Vanuatu,VUT,0.611
Venezuela (Bolivarian Republic of),VEN,0.721
Viet Nam,VNM,0.703
Yemen,YEM,0.461
Zambia,ZMB,0.575
Zimbabwe,ZWE,0.601
