Country Name,Country Code,Time,Time Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],Access to electricity (% of population) [EG.ELC.ACCS.ZS]
Afghanistan,AFG,1997,YR1997,NaN,NaN,0.061836595,41.43260087,NaN
Afghanistan,AFG,1998,YR1998,NaN,NaN,0.056237094,44.09433685,NaN
Afghanistan,AFG,1999,YR1999,NaN,NaN,0.042049859,52.18577437,NaN
Afghanistan,AFG,2000,YR2000,NaN,NaN,0.03888864,44.99,1.613590956
Afghanistan,AFG,2001,YR2001,NaN,NaN,0.037077233,45.6,4.074573994
Afghanistan,AFG,2002,YR2002,3854235264,359.7663427,0.04904702,37.83,9.409157753
Afghanistan,AFG,2003,YR2003,4539500884,363.1014815,0.05387472,36.66,14.73850632
Afghanistan,AFG,2004,YR2004,5220823685,354.0339129,0.043730135,44.24,20.06496811
Afghanistan,AFG,2005,YR2005,6226199249,379.9558293,0.063495466,33.88,25.39089394
Afghanistan,AFG,2006,YR2006,6971379033,384.0783052,0.069174384,31.89,30.71869087
Afghanistan,AFG,2007,YR2007,9715761650,429.4125373,0.068331059,28.78,36.05101013
Afghanistan,AFG,2008,YR2008,10249767311,437.4200268,0.134709696,21.17,42.40000153
Afghanistan,AFG,2009,YR2009,12154835708,512.4092792,0.178197751,16.53,46.74005127
Afghanistan,AFG,2010,YR2010,15633856787,569.282712,0.252220038,15.15,42.70000076
Afghanistan,AFG,2011,YR2011,18190410821,551.0009703,0.305307955,12.61,43.2220192
Afghanistan,AFG,2012,YR2012,20203572960,596.4428151,0.265209509,15.36,69.09999847
Afghanistan,AFG,2013,YR2013,20564485419,608.3867146,0.189910278,16.86,68.29064941
Afghanistan,AFG,2014,YR2014,20550582747,602.5169793,0.149161535,18.93,89.5
Afghanistan,AFG,2015,YR2015,19998156214,592.4765375,0.176278015,17.53,71.5
Afghanistan,AFG,2016,YR2016,18019558182,590.4277388,0.15301907,19.92,97.69999695
Afghanistan,AFG,2017,YR2017,18896352022,588.9304508,0.134106112,19.21,97.69999695
Afghanistan,AFG,2018,YR2018,18418848300,578.985909,0.165454682,17.96,96.61613464
Afghanistan,AFG,2019,YR2019,18904490263,584.3868829,0.160976451,18.51,97.69999695
Albania,ALB,1997,YR1997,2258513974,1464.297579,0.466921472,55.95334942,100
Albania,ALB,1998,YR1998,2545964541,1603.64723,0.572153695,49.98336544,100
Albania,ALB,1999,YR1999,3212121651,1821.872654,0.955359308,42.71831341,100
Albania,ALB,2000,YR2000,3480355258,1960.881946,1.026213109,41.36,100
Albania,ALB,2001,YR2001,3922100794,2143.526278,1.055495882,39.04,100
Albania,ALB,2002,YR2002,4348068242,2247.497491,1.232378783,35.82,100
Albania,ALB,2003,YR2003,5611496257,2380.643997,1.338984981,33.67,100
Albania,ALB,2004,YR2004,7184685782,2522.448714,1.404058688,35.84,100
Albania,ALB,2005,YR2005,8052073539,2675.507936,1.338209399,36.77,100
Albania,ALB,2006,YR2006,8896072919,2851.367012,1.339995739,31.62,100
Albania,ALB,2007,YR2007,10677324144,3044.895819,1.39393137,32,100
Albania,ALB,2008,YR2008,12881353508,3298.478044,1.384311249,35.79,100
Albania,ALB,2009,YR2009,12044208086,3432.169973,1.441493562,37.09,100
Albania,ALB,2010,YR2010,11926922829,3577.113388,1.527623663,36.99,100
Albania,ALB,2011,YR2011,12890764531,3678.046738,1.66942319,35.84,100
Albania,ALB,2012,YR2012,12319830437,3736.339101,1.50324046,39.91,99.90000153
Albania,ALB,2013,YR2013,12776220507,3780.698202,1.533630039,41.14,100
Albania,ALB,2014,YR2014,13228147516,3855.759734,1.668337371,38.56,99.94999695
Albania,ALB,2015,YR2015,11386850130,3952.802538,1.60377515,38.47,99.98000336
Albania,ALB,2016,YR2016,11861199831,4090.371657,1.557664358,39.43,99.88999939
Albania,ALB,2017,YR2017,13019689337,4249.803734,1.788786074,37.07,99.88999939
Albania,ALB,2018,YR2018,15156432310,4431.539181,1.782738948,38.11,100
Albania,ALB,2019,YR2019,15401830754,4543.38652,1.69224832,40.2,100
Algeria,DZA,1997,YR1997,48177612042,2910.240197,2.525102515,0.472147669,NaN
Algeria,DZA,1998,YR1998,48187747529,3012.806431,2.494597434,0.544070942,NaN
Algeria,DZA,1999,YR1999,48640653469,3066.038705,2.554201147,0.51001769,NaN
Algeria,DZA,2000,YR2000,54790392746,3138.231048,2.601169321,0.43,98.97309875
Algeria,DZA,2001,YR2001,54744712815,3188.207271,2.520753752,0.43,98.96687317
Algeria,DZA,2002,YR2002,56760355865,3321.638849,2.605558691,0.51,98.95305634
Algeria,DZA,2003,YR2003,67863828413,3512.9002,2.751133152,0.47,98.93401337
Algeria,DZA,2004,YR2004,85332581189,3612.754164,2.752675665,0.44,98.91207886
Algeria,DZA,2005,YR2005,1.03198E+11,3774.072491,2.857993398,0.58,98.88961029
Algeria,DZA,2006,YR2006,1.17027E+11,3783.314204,2.985187939,0.41,98.86901093
Algeria,DZA,2007,YR2007,1.34977E+11,3848.779512,3.02349703,0.41,98.85293579
Algeria,DZA,2008,YR2008,1.71001E+11,3874.369338,3.116901119,0.3,99.30000305
Algeria,DZA,2009,YR2009,1.37211E+11,3866.297025,3.187006485,0.31,98.84518433
Algeria,DZA,2010,YR2010,1.61207E+11,3931.721348,3.184373742,0.26,98.8589325
Algeria,DZA,2011,YR2011,2.00013E+11,3969.661577,3.305372102,0.18,98.88803101
Algeria,DZA,2012,YR2012,2.09059E+11,4025.642803,3.621254802,0.18,98.7646637
Algeria,DZA,2013,YR2013,2.09755E+11,4057.766137,3.658360898,0.13,99.0022049
Algeria,DZA,2014,YR2014,2.1381E+11,4129.423902,3.811645127,0.07,99.08701324
